"text","text_part","chapter_n","author"
"Человек один идет по льду, вокруг него туман. Ему кажется, что он идет прямо. Ветер разгонит туман: человек видит цель, видит свои следы.
Оказывается — льдина плыла и поворачивалась: след спутан в узел — человек заблудился.
Я хотел честно жить и решать, не уклоняться от трудного, но запутал свой путь. Ошибаясь и плутая, я очутился в эмиграции, в Берлине.
История эта рассказана мною в книге «Сентиментальное путешествие», которая у нас два раза издана; сейчас ее не переиздаю.
Все это было в 1922 году. За границей я тосковал; через год по хлопотам Горького и Маяковского мне удалось вернуться на родину.
Книга, которую вы сейчас прочтете, написана в Берлине, у нас она издается в четвертый раз.
1965","предисловие",NA,"Виктор"
"ТРИ ПРЕДИСЛОВИЯ
ПРЕДИСЛОВИЕ АВТОРАК ПЕРВОМУ ИЗДАНИЮ
Книжка эта написана следующим образом.
Первоначально я задумал дать ряд очерков русского Берлина, потом показалось интересным связать эти очерки какой-нибудь общей темой. Взял «Зверинец» («Zoo») — заглавие книги уже родилось, но оно не связало кусков. Пришла мысль сделать из них что-то вроде романа в письмах.
Для романа в письмах необходима мотивировка — почему именно люди должны переписываться. Обычная мотивировка — любовь и разлучники. Я взял эту мотивировку в ее частном случае: письма пишутся любящим человеком к женщине, у которой нет для него времени. Тут мне понадобилась новая деталь: так как основной материал книги не любовный, то я ввел запрещение писать о любви. Получилось то, что я выразил в подзаголовке, — «Письма не о любви».
Тут книжка начала писать себя сама, она потребовала связи материала, то есть любовно-лирической линии и линии описательной. Покорный воле судьбы и материала, я связал эти вещи сравнением: все описания оказались тогда метафорами любви.
Это обычный прием для эротических вещей: в них отрицается ряд реальный и утверждается ряд метафорический.
Сравните с «Заветными сказками».
Берлин, 5 марта 192З года
ВТОРОЕ ПРЕДИСЛОВИЕ 
К СТАРОЙ КНИГЕ
Мое прошлое — ты было.
Были утренние тротуары берлинских улиц.
Базары, осыпанные белыми лепестками цветущих яблонь. 
Ветки яблонь стояли на длинных базарных столах в ведрах. 
Позднее, летом, были розы на длинных ветках, — вероятно, это вьющиеся розы.
Орхидеи стояли в цветочном магазине на Унтер-ден-Линден, и я их никогда не покупал. Был беден. Покупал розы — вместо хлеба.
Давно унесли отрезанное от сердца. Мне только жалко того прошлого: прошлого человека.
Я оставил его (прежнего себя) в этой книге, как оставляли в прежних романах на необитаемом острове провинившегося матроса.
Живи виноватый: здесь тепло. Я не могу тебя перевоспитать. Сиди, смотри на закат. Письма, которых не было в первом издании, были действительно написаны тобою, но ты их тогда не послал.
1924. Ленинград
ТРЕТЬЕ ПРЕДИСЛОВИЕ
Мне семьдесят лет. Душа моя лежит передо мною.
Она уже износилась на сгибах.
Та книга ее согнула тогда. Я ее выпрямил.
Сгибали душу смерти друзей. Война. Споры. 
Ошибки. Обиды. Кино. И старость, которая все же пришла. Мне легче, что я не знаю мест, по которым ты ходишь, не знаю твоих новых друзей, старых деревьев около твоей мельницы.
Память разошлась кругами. Круги дошли до каменного берега. Прошлого нет.
К берегу ушли круги, кольца любви.
Не сяду у моря, не буду ждать погоды, не позову свою рыбку с золотыми веснушками.
Не сяду ночью у моря, не буду черпать воду старой коричневой фетровой шляпой.
Не скажу: «Отдай мне, море, кольца».
Уже и ночи я дождался. Убраны с неба непонятные звезды. 
Одна Венера, заглавная звезда вечера и утра, вернулась в небо. Верен любви: люблю другую.
Утром, в час, когда уже можно отличить белую нитку от голубой, я говорю слово — Любовь.
Солнце вылилось в небо.
Утру песни не бывает конца, только мы уходим.
Посмотрим по книге, как по воде, на каких перевалах бывало сердце, сколько от прошлого осталось крови и гордости, называемых лиризмом.
1963 год. Москва
Р.S. Аля уже несколько десятилетий французская писательница, прославленная своей прозой и стихами, ей посвященными.","предисловие",NA,"Виктор"
"ЭПИГРАФ
ЗВЕРИНЕЦ
О, Сад, Сад! 
Где железо подобно отцу, напоминающему братьям, что они братья, и останавливающему кровопролитную схватку. 
Где немцы ходят пить пиво. 
А красотки продавать тело. 
Где орлы сидят, подобны вечности, оконченной сегодняшним, еще лишенным вечера днем. 
Где верблюд знает разгадку Буддизма и затаил ужимку Китая. 
Где олень лишь испуг, цветущий широким камнем. 
Где наряды людей баскующие. 
А немцы цветут здоровьем. 
Где черный взор лебедя, который весь подобен зиме, а клюв — осенней рощице, немного осторожен для него самого. 
Где синий красивейшина роняет долу хвост, подобный видимой с Павдинского камня Сибири, когда по золоту пала и зелени леса брошена синяя сеть от облаков, и все это разнообразно оттенено от неровностей почвы. 
Где обезьяны разнообразно сердятся и выказывают концы туловища. 
Где слоны, кривляясь, как кривляются во время землетрясения горы, просят у ребенка поесть, влагая древний смысл в правду: есть, хоууа! поесть бы! и приседают, точно просят милостыню. 
Где медведи проворно влезают вверх и смотрят вниз, ожидая приказания сторожа.
Где нетопыри висят подобно сердцу современного русского. 
Где грудь сокола напоминает перистые тучи перед грозою. 
Где низкая птица влачит за собой закат, со всеми углями его пожара.
Где в лице тигра, обрамленном белой бородой и с глазами пожилого мусульманина, мы чтим первого магометанина и читаем сущность Ислама. 
Где мы начинаем думать, что веры — затихающие струи волн, разбег которых — виды. 
И что на свете потому так много зверей, что они умеют по-разному видеть бога… 
Где полдневный пушечный выстрел заставляет орлов смотреть на небо, ожидая грозы. 
Где орлы падают с высоких насестов, как кумиры во время землетрясения с храмов и крыш зданий… 
Где утки одной породы поднимают единодушный крик после короткого дождя, точно служа благодарственный молебен утиному — имеет ли оно ноги и клюв — божеству. 
Где пепельно-серебряные цесарки имеют вид казанских сирот. 
Где в малайском медведе я отказываюсь узнать сосеверянина и открываю спрятавшегося монгола. 
Где волки выражают готовность и преданность. 
Где, войдя в душную обитель попугаев, я осыпаем единодушными приветствиями «дюрьрак!». 
Где толстый блестящий морж машет, как усталая красавица, скользкой черной веерообразной ногой и после прыгает в воду, а когда он вскатывается снова на помост, на его жирном, грузном теле показывается с колючей щетиной и гладким лбом голова Ницше. 
Где челюсть у белой черноглазой возвышенной ламы и у плоскорогого буйвола движется ровно направо и налево, как жизнь страны с народным представительством и ответственным перед ним правительством — желанный рай столь многих! 
Где носорог носит в бело-красных глазах неугасимую ярость низверженного царя и один из всех зверей не скрывает своего презрения к людям, как к восстанию рабов. И в нем затаен Иоанн Грозный. 
Где чайки с длинным клювом и холодным голубым, точно окруженным очками, глазом имеют вид международных дельцов, чему мы находим подтверждение в искусстве, с которым они похищают брошенную тюленям еду. 
Где, вспоминая, что русские величали своих искусных полководцев именем сокола, и вспоминая, что глаз казака и этой птицы один и тот же, мы начинаем знать, кто были учителя русских в военном деле. 
Где слоны забыли свои трубные крики и издают крик, точно жалуются на расстройство. Может быть, видя нас слишком ничтожными, они начинают находить признаком хорошего вкуса издавать ничтожные звуки? Не знаю. 
Где в зверях погибают какие-то прекрасные возможности, как вписанное в Часослов Слово Полку Игореви. 
Велимир Хлебников
Садок Судей 1-й
1909 г.","эпиграф",NA,"Велимир Хлебников"
"ПОСВЯЩАЮ Эльзе Триоле И ДАЮ КНИГЕ ИМЯ ТРЕТЬЯ ЭЛОИЗА","посвящение",NA,"Виктор"
"ПИСЬМО ВСТУПИТЕЛЬНОЕ","номер письма",0,"Виктор"
"Оно написано всем, всем, всем.
Тема письма: вещи переделывают человека.","содержание письма",0,"Виктор"
"Если бы я имел второй костюм, то никогда не знал бы горя. 
Придя домой, переодеться, подтянуться — достаточно, чтобы изменить себя. 
Женщины пользуются этим несколько раз в день. Что бы вы ни говорили женщине, добивайтесь ответа сейчас же; иначе она примет горячую ванну, переменит платье, и все нужно начинать говорить сначала. 
Переодевшись, они даже забывают жесты. 
Я очень советую вам добиваться от женщины немедленного ответа. 
Иначе вам придется часто стоять растерянным перед новым неожиданным словом. 
Синтаксиса в жизни женщины почти нет. 
Мужчину же изменяет его ремесло. 
Орудие не только продолжает руку человека, но и само продолжается в нем. 
Говорят, что слепой локализует чувство осязания на конце своей палки. 
К своей обуви я не испытываю особенной привязанности, но все же она продолжение меня, это часть меня. 
Ведь уже тросточка меняла гимназиста и была ему запрещена. 
Искренней обезьяна на ветке, но ветка тоже влияет на психологию. 
Психология же коровы, идущей по скользкому льду, вошла в поговорку. 
Больше всего меняет человека машина. 
Лев Толстой в «Войне и мире» рассказывает, как робкий и незаметный артиллерист Тушин во время боя оказывается в новом мире, созданном его артиллерией. 
 «Вследствие этого страшного гула, шума, потребности внимания и деятельности, Тушин не испытывал ни малейшего неприятного чувства страха… Напротив, ему становилось все веселее и веселее… 
Из-за оглушающих со всех сторон звуков своих орудий, из-за свиста и ударов снарядов неприятелей, из-за вида вспотевшей, раскрасневшейся, торопящейся около орудий прислуги, из-за вида крови людей и лошадей, из-за вида дымков неприятеля на той стороне (после которых всякий раз прилетало ядро и било в землю, в человека, в орудие или в лошадь), — из-за вида этих предметов у него в голове установился свои фантастический мир, который составлял его наслаждение в эту минуту… Сам он представлялся себе огромного роста, мощным мужчиной, который обеими руками швыряет французам ядро». 
Пулеметчик и контрабасист — продолжение своих инструментов. 
Подземная железная дорога, подъемные краны и автомобили — протезы человечества. 
Случилось так, что мне пришлось провести несколько лет среди шоферов. 
Шоферы изменяются сообразно количеству сил в моторах, на которых они ездят. 
Мотор свыше сорока лошадиных сил уже уничтожает старую мораль. 
Быстрота отделяет шофера от человечества. 
Включи мотор, дай газ — и ты ушел уже из пространства, а время как будто изменяется только указателем скорости. 
Автомобиль может дать на шоссе свыше ста километров в час. 
Но к чему такая быстрота? 
Она нужна только бегущему или преследующему.  
Мотор тянет человека к тому, что справедливо называется преступлением. 
К счастью, русский шофер обычно хороший работник. 
Он ездит по дорогам, напоминающим волны, чинит машину в степи, когда мороз и бензин леденят руки. Но вместе с тем шофер не рабочий; на машине он одинок. 
Его машина опьяняет его, быстрота опьяняет, выносит из жизни. 
Не забудем о заслугах автомобиля перед революцией. 
Не сразу Волынский полк решился выйти из казарм. 
Русские полки бунтовали обычно стоя. 
Декабристы были разбиты на месте. 
Волынцы оставили казармы, но были в нерешительности. Навстречу выходили другие. 
Полки сходились и останавливались. 
Но уже били камнями в двери гаражей, и рабочие на захваченных трубящих машинах вылетали в город. 
Вы пеной выплеснули революцию в город, о автомобили. 
Революция включила скорость и поехала. 
Гнулись рессоры, гнулись крылья машин, машины метались по городу, и там, где их было две, казалось, что их было восемь. 
Я люблю автомобили. 
Тогда раскачалась вся страна. Революция перешла через пенный период и ушла пешком на фронт. 
Оружие делает человека храбрее. 
Лошадь обращает его в кавалериста. 
Вещи делают с человеком то, что он из них делает. Скорость требует цели. 
Вещи растут вокруг нас, — их сейчас в десять или в сто раз больше, чем двести лет тому назад. 
Человечество владеет ими, отдельный человек — нет.  
Нужно личное овладение тайной машин, нужен новый романтизм, чтобы они не выбрасывали людей на поворотах из жизни. 
Я сейчас растерян, потому что этот асфальт, натертый шинами автомобилей, эти световые рекламы и женщины, хорошо одетые, — все это изменяет меня. Я здесь не такой, какой был, и кажется, я здесь нехороший. ","текст письма",0,"Виктор"
"ПИСЬМО ПЕРВОЕ","номер письма",1,"Аля"
"Написано оно женщиной к ее сестре в Москву из Берлина. Сестра ее очень красивая, с сияющими глазами. Дано письмо как вступление. Слушайте женский спокойный голос.","содержание письма",1,"Аля"
"На новой квартире я ужилась. Подозреваю, что хозяйка у меня из ех-веселящихся, соответственно и характер у нее не злобный и не придирчивый. Разговаривают в моих краях только по-немецки; откуда ни идешь, приходится пробираться под двенадцатью железными мостами. Такое место это, что без особой нужды не заедешь. Знакомые с Унтер-ден-Линден по дороге заходить не будут!
При мне состоят все те же, поста не покидают. Тот, третий, ко мне окончательно пришился. Почитаю его своим самым крупным орденом, хотя влюбчивость его мне известна. Пишет мне каждый день по письму и по два, сам мне их приносит, послушно садится рядом и ждет, пока я их прочту.
Первый все еще посылает цветы, но грустнеет. Второй, которому ты меня неосторожно поручила, продолжает настаивать на том, что любит. Взамен требует, чтобы со всеми своими неприятностями обращалась к нему. Такой хитрый.
Автомобильная такса сейчас умножается в 5000 раз. 
Несмотря на покойное житье здесь — тоскую по Лондону. По одиночеству, размеренной жизни, работе с утра до вечера, ванне и танцам с благообразными юношами. Здесь я от этого отвыкла. И слишком много горя кругом, чтобы об этом можно было хоть на минуту забыть.
Пиши скорее про все свои дела. Целую тебя, милую, самую красивую, спасибо еще раз за любовь и ласку.
Аля
3 февраля 1923 г.","текст письма",1,"Аля"
