"surname","n_units","overall_circulation","type","year","printed_sheets","full_name"
"Донцова",139,3728600,"authors",2012,NA,"Донцова Д.А."
"Шилова",108,3256700,"authors",2012,NA,"Шилова Ю.В."
"Полякова",72,976400,"authors",2012,NA,"Полякова Т.В."
"Кристи",120,963700,"authors",2012,NA,"Кристи А."
"Маринина",39,960000,"authors",2012,NA,"Маринина А.Б."
"Устинова",44,958800,"authors",2012,NA,"Устинова Т.В."
"Акунин",59,897000,"authors",2012,NA,"Акунин Б."
"Колычев",83,862700,"authors",2012,NA,"Колычев В.Г."
"Вильмонт",73,741600,"authors",2012,NA,"Вильмонт Е.Н."
"Тамоников",89,543300,"authors",2012,NA,"Тамоников А.А."
"Тихон (Шевкунов)",2,540000,"authors",2012,NA,"Тихон (Шевкунов)"
"Пушкин",60,511500,"authors",2012,NA,"Пушкин А.С."
"Рой",47,493700,"authors",2012,NA,"Рой О.Ю."
"Литвиновы",31,491900,"authors",2012,NA,"Литвиновы А. и С."
"Джеймс",3,465100,"authors",2012,NA,"Джеймс Э."
"Робертс",76,453700,"authors",2012,NA,"Робертс Н."
"Калинина",46,438800,"authors",2012,NA,"Калинина Д.А."
"Серова",45,417100,"authors",2012,NA,"Серова М.С."
"Высоцкий",30,394100,"authors",2012,NA,"Высоцкий В.С"
"Корецкий",43,393000,"authors",2012,NA,"Корецкий Д.А."
"Чуковский",164,2663300,"children",2012,NA,"Чуковский К.И."
"Степанов",89,2012000,"children",2012,NA,"Степанов В.А."
"Барто",92,1216100,"children",2012,NA,"Барто А.Л."
"Гурина",34,859000,"children",2012,NA,"Гурина И.В."
"Носов",60,8e+05,"children",2012,NA,"Носов Н.Н."
"Пушкин",96,672100,"children",2012,NA,"Пушкин А.С."
"Андерсен",59,598700,"children",2012,NA,"Андерсен Х.К."
"Волков",60,582100,"children",2012,NA,"Волков А.М."
"Усачев",62,570100,"children",2012,NA,"Усачев А.А."
"Перро",43,543600,"children",2012,NA,"Перро Ш."
"Жукова",3,480000,"children",2012,NA,"Жукова Л."
"Толстой",52,386600,"children",2012,NA,"Толстой Л.Н."
"Драгунский",37,371400,"children",2012,NA,"Драгунский В.Ю."
"Гримм",44,356000,"children",2012,NA,"Братья Гримм"
"Райан",32,352000,"children",2012,NA,"Райан Д."
"Коуп",32,352000,"children",2012,NA,"Коуп Р."
"Маршак",48,316200,"children",2012,NA,"Маршак С.Я."
"Коваль",17,306000,"children",2012,NA,"Коваль Т.Л."
"Зайцев",32,296000,"children",2012,NA,"Зайцев В.Б."
"Лагздынь",12,286500,"children",2012,NA,"Лагздынь Г.Р."
"Донцова",143,2831500,"authors",2013,37594800,"Донцова Д.А."
"Устинова",55,897500,"authors",2013,11747300,"Устинова Т.В."
"Шилова",64,891000,"authors",2013,11594100,"Шилова Ю.В."
"Полякова",58,826900,"authors",2013,11522700,"Полякова Т.В."
"Маринина",47,748700,"authors",2013,12186700,"Маринина А.Б."
"Акунин",60,737900,"authors",2013,14455900,"Акунин Б."
"Дойль",40,708400,"authors",2013,14920400,"Дойль А.К."
"Кристи",128,682600,"authors",2013,8371700,"Кристи Агата"
"Рой",43,657400,"authors",2013,9764500,"Рой О.Ю."
"Картленд",67,655000,"authors",2013,7186700,"Картленд Барбара"
"Вильмонт",64,561500,"authors",2013,7533200,"Вильмонт Е.Н."
"Александрова",74,544200,"authors",2013,6693300,"Александрова Н.Н."
"Джеймс",5,490400,"authors",2013,14825800,"Джеймс Эл"
"Колычев",47,488500,"authors",2013,7050300,"Колычев В.Г."
"Литвиновы",54,487200,"authors",2013,5981600,"Литвиновы А. и С."
"Тамоников",99,470300,"authors",2013,7133300,"Тамоников А.А."
"Сименон",34,459000,"authors",2013,7133400,"Сименон Жорж"
"Калинина",57,457700,"authors",2013,6048300,"Калинина Д.А."
"Зверев",102,453900,"authors",2013,5952200,"Зверев С.И."
"Фицджеральд",57,377500,"authors",2013,7208700,"Фицджеральд Ф.С."
"Чуковский",147,2194000,"children",2013,8078200,"Чуковский К.И."
"Степанов",60,1034400,"children",2013,3522300,"Степанов В.А."
"Барто",75,1023000,"children",2013,6346500,"Барто А.Л."
"Гурина",49,974000,"children",2013,1523200,"Гурина И.В."
"Носов",74,787000,"children",2013,9547900,"Носов Н.Н."
"Маляренко",28,678000,"children",2013,978400,"Маляренко Ф.В."
"Андерсен",79,664400,"children",2013,3429400,"Андерсен Х.К."
"Линдгрен",63,633500,"children",2013,14515700,"Линдгрен А."
