"russian_name","foreign_name","href","director","country","country2","year","duration","duration2","announced_name","announced_features"
"ЭТОТ СМУТНЫЙ ОБЪЕКТ ЖЕЛАНИЯ","CET OBSCUR OBJET DU DESIR","http://www.kinohorosho.ru/node/400","Луис Бунюэль","Франция-Испания","mixed",1977,102,"not short","ЭТОТ СМУТНЫЙ ОБЪЕКТ ЖЕЛАНИЯ                      //                     CET OBSCUR OBJET DU DESIR","Франция-Испания, 1977, 102 мин."
"УБИЙЦЫ ЛЕДИ","THE LADYKILLERS","http://www.kinohorosho.ru/node/379","Александр Макендрик","Великобритания","not mixed",1955,91,"not short","УБИЙЦЫ ЛЕДИ / / THE LADYKILLERS","Великобритания, 1955, 91 мин."
"АЛЬФАВИЛЬ","ALPHAVILLE, UNE ETRANGE AVENTURE","http://www.kinohorosho.ru/node/239","Жан-Люк Годар","Франция-Италия","mixed",1965,99,"not short","АЛЬФАВИЛЬ / ALPHAVILLE, UNE ETRANGE AVENTURE / DE LEMMY CAUTION","Франция- Италия, 1965, 99 мин."
"КЕНТЕРБЕРИЙСКИЕ РАССКАЗЫ","RACCONTI DI CANTERBURY","http://www.kinohorosho.ru/node/375","Пьер Паоло Пазолини","Италия-Франция-Германия","mixed",1972,106,"not short","ТРИЛОГИЯ ЖИЗНИ./КЕНТЕРБЕРИЙСКИЕ РАССКАЗЫ /RACCONTI DI CANTERBURY","Италия-Франция-Германия, 1972, 106 мин."
"ЦВЕТОК 1001 НОЧИ","IL FIORE DELLE MILLE E UNA NOTTE","http://www.kinohorosho.ru/node/376","Пьер Паоло Пазолини","Италия-Франция","mixed",1974,130,"not short","ТРИЛОГИЯ ЖИЗНИ./ЦВЕТОК 1001 НОЧИ/IL FIORE DELLE MILLE E UNA NOTTE","Италия-Франция, 1974, 130 мин."
"ЕВА ХОЧЕТ СПАТЬ","EWA CHCET SPAC","http://www.kinohorosho.ru/node/277","Тадеуш Хмелевски","Польша","not mixed",1958,95,"not short","ЕВА ХОЧЕТ СПАТЬ / EWA CHCET                      SPAC","Польша, 1958, 95 мин."
"ЕВАНГЕЛИЕ ОТ МАТФЕЯ","IL VANGELO SECONDO MATTEO","http://www.kinohorosho.ru/node/666","Пьер Паоло Пазолини","Италия-Франция","mixed",1964,131,"not short","ЕВАНГЕЛИЕ ОТ МАТФЕЯ / IL VANGELO SECONDO MATTEO","Италия-Франция, 1964, 131 мин."
"ЦЕНА МОЛОКА","THE PRICE OF MILK","http://www.kinohorosho.ru/node/387","Гарри Синклер","Новая Зеландия","not mixed",2000,83,"not short","ЦЕНА МОЛОКА/THE PRICE OF MILK","Новая Зеландия, 2000, 83 мин."
"ЦЕНТРАЛЬНЫЙ ВОКЗАЛ","CENTRAL DO BRASIL","http://www.kinohorosho.ru/node/389","Вальтер Саллес","Бразилия-Франция","mixed",1998,113,"not short","ЦЕНТРАЛЬНЫЙ ВОКЗАЛ / CENTRAL DO BRASIL","Бразилия-Франция, 1998, 113 мин."
"ШАБОНДАМСКАЯ ЭЛЕГИЯ","SHABONDAMA ELEGY","http://www.kinohorosho.ru/node/397","Ян Керкхоф","Нидерланды-Япония","mixed",1999,85,"not short","ШАБОНДАМСКАЯ ЭЛЕГИЯ / SHABONDAMA                      ELEGY","Нидерланды-Япония, 1999, 85 мин."
"ЭЛЕМЕНТ ПРЕСТУПЛЕНИЯ","FORBRYDELSENS ELEMENT","http://www.kinohorosho.ru/node/398","Ларс Фон Триер","Дания","not mixed",1984,104,"not short","ЭЛЕМЕНТ ПРЕСТУПЛЕНИЯ/ FORBRYDELSENS ELEMENT","Дания, 1984, 104 мин."
"ЮНЫЙ ЛЕЙТЕНАНТ","LE PETIT LIEUTENANT","http://www.kinohorosho.ru/node/401","Ксавье Бовуа","Франция","not mixed",2005,96,"not short","ЮНЫЙ ЛЕЙТЕНАНТ/                     LE PETIT LIEUTENANT","Франция, 2005, 96 мин."
"Я ЗДЕСЬ НЕ ДЛЯ ТОГО, ЧТОБЫ МЕНЯ ЛЮБИЛИ","JE NE SUIS PAS LA POUR ETRE AIME","http://www.kinohorosho.ru/node/402","Стефан Бризе","Франция","not mixed",2005,93,"not short","Я ЗДЕСЬ НЕ ДЛЯ ТОГО, ЧТОБЫ                      МЕНЯ ЛЮБИЛИ/                     JE NE SUIS PAS LA POUR ETRE AIME","Франция, 2005, 93 мин."
"ЯАБА","YAABA","http://www.kinohorosho.ru/node/403","Идрисса Уедраого","Буркина-Фассо","mixed",1989,86,"not short","Яаба / Yaaba"," Буркина-Фассо, 1989, 86 мин."
"А ТЕПЕРЬ НЕ СМОТРИ","DON'T LOOK NOW","http://www.kinohorosho.ru/node/237","Николас Роуг","Великобритания-Италия","mixed",1973,106,"not short","А ТЕПЕРЬ НЕ СМОТРИ / DON'T LOOK NOW","Великобритания - Италия, 1973, 106 мин."
